Candidate,County,Number of Votes,Ten Percent of Vote,Tweet List
trump,Taylor,37%,Y,
trump,Union,28%,Y,
trump,Van Buren,28%,Y,
trump,Wapello,35%,Y,
trump,Warren,26%,Y,
trump,Washington,21%,Y,
trump,Wayne,27%,Y,
trump,Webster,27%,Y,
trump,Winnebago,19%,Y,
trump,Winneshiek,26%,Y,
trump,Woodbury,32%,Y,
trump,Worth,30%,Y,
trump,Wright,23%,Y,
sanders,Adair,44%,Y,
sanders,Adams,43%,Y,
sanders,Allamakee,49%,Y,
sanders,Appanoose,45%,Y,
sanders,Audubon,37%,Y,
sanders,Benton,44%,Y,
sanders,Black Hawk,53%,Y,"[""dadiniowa: We are passionate about #BernieSanders because he's passionate about us.\n\nJoin the Revolution!\n\n#feelthebern\n#IowaCaucus\n#Iowa\n#NHpolitics\n"", ""dadiniowa: #IowaCaucus\n\nIt's simple.\n\nWho will work better with #Republicans? Who is more electable? Who do you trust?\n\n#BernieSandersForPresident2016\n"", ""dadiniowa: #IowaCaucus\n\nIt's simple.\n\nWho will work better with #Republicans? Who is more electable? Who do you trust?\n\n#BernieSandersForPresident2016\n"", 'dadiniowa: Why is the only non #Christian talking about helping the poor?\n\n#BernieSandersForPresident2016\n\n#feelthebern\n#Bernie https://t.co/JM0SoVUEl1\n', 'dadiniowa: Why is the only non #Christian talking about helping the poor?\n\n#BernieSandersForPresident2016\n\n#feelthebern\n#Bernie https://t.co/K3fdLBppnj\n']"
sanders,Boone,55%,Y,
sanders,Bremer,45%,Y,['saladgrl: @berniesanders speaking to volunteers and students in Iowa! So amazing to see him up close and https://t.co/3VoN2mPw9Y\n']
sanders,Buchanan,47%,Y,
sanders,Buena Vista,48%,Y,
sanders,Butler,58%,Y,
sanders,Calhoun,50%,Y,
sanders,Carroll,37%,Y,
sanders,Cass,38%,Y,
sanders,Cedar,56%,Y,
sanders,Cerro Gordo,50%,Y,
sanders,Cherokee,55%,Y,
sanders,Chickasaw,39%,Y,
sanders,Clarke,42%,Y,
sanders,Clay,51%,Y,
sanders,Clayton,51%,Y,
sanders,Clinton,51%,Y,
sanders,Crawford,42%,Y,
sanders,Dallas,42%,Y,
sanders,Davis,42%,Y,
sanders,Decatur,47%,Y,
sanders,Delaware,43%,Y,
sanders,Des Moines,53%,Y,['KiHorner: Iowa Caucus Tomorrow! Get involved and be heard! Join the Bernie Sanders Movement! Bernie https://t.co/zOYu7yxpQa\n']
sanders,Dickinson,51%,Y,
sanders,Dubuque,47%,Y,
sanders,Emmet,44%,Y,
sanders,Fayette,47%,Y,
sanders,Floyd,43%,Y,['susaniniowa: Gathering for the @BernieSanders GOTC canvass. #feelthebern https://t.co/BtXtCZeYH5\n']
sanders,Franklin,42%,Y,
sanders,Fremont,50%,Y,
sanders,Greene,46%,Y,
sanders,Grundy,52%,Y,
